player_name,player_id,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,ts_pct,fg,fga,fg3,fg3a,ft,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,avg_game_score
Bam Adebayo,4066261,76,31.2,19.4,9.7,3.1,1.1,0.6,1.6,0.443,0.318,0.778,0.552,509,1148,127,400,329,423,124,611,735,233,87,49,120,127,6.4,3.4
Norman Powell,2595516,75,23.2,17.0,2.7,1.9,0.9,0.2,1.5,0.471,0.381,0.827,0.609,426,904,157,412,263,318,18,186,204,144,64,14,113,110,1.9,1.5
Jaime Jaquez Jr.,4432848,81,26.7,14.4,4.7,4.4,0.6,0.3,1.9,0.505,0.317,0.766,0.568,469,929,60,189,167,218,82,299,381,360,51,22,153,133,2.7,2.3
Andrew Wiggins,3059319,75,28.1,14.3,4.5,2.5,1.0,0.9,1.4,0.477,0.416,0.788,0.588,400,839,142,341,130,165,101,235,336,185,76,69,103,142,1.0,1.8
Tyler Herro,4395725,51,20.8,13.7,3.2,2.8,0.5,0.2,1.3,0.477,0.382,0.921,0.6,254,533,87,228,105,114,11,150,161,142,23,12,66,39,1.6,3.9
Kel'el Ware,5105623,80,21.9,10.8,8.9,0.8,0.7,1.1,0.8,0.528,0.39,0.74,0.614,349,661,94,241,71,96,193,520,713,60,59,89,62,130,1.2,1.9
Pelle Larsson,4601025,77,24.3,10.5,3.2,3.1,0.6,0.2,1.3,0.496,0.321,0.795,0.605,279,563,62,193,186,234,47,200,247,239,50,16,103,132,1.8,2.0
Davion Mitchell,4278053,81,25.3,8.4,2.4,5.7,0.9,0.1,1.3,0.49,0.397,0.646,0.582,273,557,94,237,42,65,24,167,191,459,70,12,108,158,3.8,2.1
Simone Fontecchio,3899664,78,15.2,7.7,2.7,1.3,0.5,0.1,0.6,0.411,0.374,0.843,0.578,194,472,123,329,86,102,49,163,212,101,37,10,49,96,1.5,1.0
Nikola Jovic,4997528,62,13.1,5.5,2.5,1.6,0.4,0.3,1.0,0.366,0.269,0.683,0.48,115,314,45,167,69,101,25,128,153,102,26,17,65,63,0.3,0.0
Dru Smith,4066993,73,15.7,5.4,2.4,2.5,1.4,0.3,0.8,0.415,0.295,0.829,0.532,135,325,38,129,87,105,57,116,173,180,100,21,55,107,-0.4,0.2
Kasparas Jakucionis,5214640,65,14.6,5.0,2.1,2.1,0.5,0.1,0.8,0.429,0.423,0.879,0.614,102,238,66,156,58,66,33,105,138,137,33,7,50,88,1.0,1.3
Myron Gardner,4431772,58,7.1,2.8,2.1,0.8,0.3,0.1,0.3,0.48,0.406,0.731,0.606,59,123,26,64,19,26,35,87,122,44,20,8,17,63,1.7,0.4
Keshad Johnson,4431786,67,4.2,2.0,0.9,0.1,0.2,0.1,0.2,0.49,0.295,0.724,0.582,51,104,13,44,21,29,17,45,62,8,15,8,13,28,0.7,0.8
Jahmir Young,4433133,31,1.9,0.8,0.1,0.3,0.0,0.0,0.1,0.4,0.333,1.0,0.483,10,25,3,9,2,2,2,2,4,9,1,0,3,5,-0.5,0.2
Trevor Keels,4432645,10,1.4,0.8,0.2,0.0,0.1,0.0,0.0,0.25,0.222,0.0,0.333,3,12,2,9,0,0,0,2,2,0,1,0,0,0,-1.3,0.5
Vladislav Goldin,4700818,25,0.9,0.3,0.4,0.1,0.0,0.1,0.1,0.75,0.0,1.0,0.788,3,4,0,0,1,1,1,8,9,3,0,3,3,5,-0.2,0.1
Terry Rozier,3074752,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
